trait	Chr	start	end	e_chr	e_start	e_peak	e_end	logP	var_exp	eQTL_classification	e_length	ens_gene	ext_gene	biotype
C48B4.4d.1	III	9570688	9579873	I	11998938	12987942	14109069	8.87505852717596	0.16453566791266	Distant eQTL	2110131	WBGene00000421	ced-7	mRNA
C48B4.4d.1	III	9570688	9579873	III	2739541	2923217	3299975	6.31518476242596	0.116481797299814	Distant eQTL	560434	WBGene00000421	ced-7	mRNA
C48B4.4d.1	III	9570688	9579873	V	2091058	3693718	4405410	6.21776580957335	0.114611084674264	Distant eQTL	2314352	WBGene00000421	ced-7	mRNA
C48B4.6.1	III	9557448	9558563	III	5743727	9601547	10635400	33.9985147417715	0.602049693284048	Local eQTL	4891673	WBGene00008169	C48B4.6	mRNA
C48B4.7.1	III	9558660	9561216	II	7028	485573	914346	6.40154638004778	0.136429452873193	Distant eQTL	907318	WBGene00008170	C48B4.7	mRNA
C48B4.7.2	III	9558660	9559435	III	5743727	9601547	10627852	32.2031453175743	0.573591055664063	Local eQTL	4884125	WBGene00008170	C48B4.7	mRNA
C48B6.6a.2	I	6900947	6913585	X	7134299	7897043	12727640	8.30380458336842	0.154003483239484	Distant eQTL	5593341	WBGene00004879	smg-1	mRNA
C48D1.1a.1	IV	13193563	13197382	IV	10940933	13260170	13881242	8.08952917371667	0.195927763419234	Local eQTL	2940309	WBGene00008177	C48D1.1	mRNA
C48D1.3.2	IV	13209729	13214568	II	7028	620637	965612	6.11570279994612	0.112648128606831	Distant eQTL	958584	WBGene00000501	cho-1	mRNA
C48D1.3.2	IV	13209729	13214568	V	13598611	14654518	15302894	6.88994134618769	0.127458925299363	Distant eQTL	1704283	WBGene00000501	cho-1	mRNA
C48D1.7	IV	13206783	13207278	II	7028	9780	756972	6.95263556921294	0.202404688811513	Distant eQTL	749944	WBGene00044909	C48D1.7	pseudogenic_transcript
C48D1.7	IV	13206783	13207278	IV	6165098	10962520	14424269	15.4174432528175	0.306542491000924	Distant eQTL	8259171	WBGene00044909	C48D1.7	pseudogenic_transcript
C48D1.7	IV	13206783	13207278	V	10371207	13571248	15078019	8.39547073962866	0.218056887026533	Distant eQTL	4706812	WBGene00044909	C48D1.7	pseudogenic_transcript
C48D1.7	IV	13206783	13207278	X	2606338	3893981	5162156	7.49163957268111	0.206262727107695	Distant eQTL	2555818	WBGene00044909	C48D1.7	pseudogenic_transcript
C48E7.2.2	I	6255033	6257791	V	15743593	16017666	16587072	6.33192362384744	0.128031325579061	Distant eQTL	843479	WBGene00016750	let-611	mRNA
C49C3.1.1	IV	17312141	17315462	IV	13788710	16652631	17490095	35.0229300204007	0.590367434963963	Local eQTL	3701385	WBGene00004908	snf-9	mRNA
C49C3.1.2	IV	17312141	17315464	IV	15510239	17024336	17490095	14.3026807887839	0.3810692216709	Local eQTL	1979856	WBGene00004908	snf-9	mRNA
C49C3.8a.1	IV	17335203	17336685	IV	15355966	16221134	17490095	7.74016193578346	0.172051448134483	Distant eQTL	2134129	WBGene00008198	C49C3.8	mRNA
C49F5.13.1	X	11961436	11962036	X	9552349	11893642	13576409	22.3624140823767	0.482227552951379	Local eQTL	4024060	WBGene00268215	C49F5.13	mRNA
C49F5.2.1	X	11970030	11974679	X	12495993	13040434	13576409	6.33490293122205	0.116860090405549	Distant eQTL	1080416	WBGene00008206	set-6	mRNA
C49F5.7.1	X	11994766	11995839	X	10399190	11690885	12697191	10.2991752366881	0.209611642203347	Local eQTL	2298001	WBGene00008211	C49F5.7	mRNA
C49F5.8.1	X	11960145	11961530	X	10013556	12094478	13484482	9.18804176195153	0.181957514619049	Local eQTL	3470926	WBGene00008212	C49F5.8	mRNA
C49F5.9	X	11962413	11962646	X	10067300	11936644	13369535	13.1180506795464	0.309205132789675	Local eQTL	3302235	WBGene00045316	C49F5.9	pseudogenic_transcript
C49G7.11.1	V	4054074	4055125	I	6415	922115	3530563	7.57288817946317	0.198018043307229	Distant eQTL	3524148	WBGene00016789	djr-1.2	mRNA
C49G7.11.1	V	4054074	4055125	V	2171591	4037590	13935995	11.956914675465	0.221282488624293	Local eQTL	11764404	WBGene00016789	djr-1.2	mRNA
C49G7.11.1	V	4054074	4055125	X	7885130	8579010	9309653	6.56296844641212	0.189458881217334	Distant eQTL	1424523	WBGene00016789	djr-1.2	mRNA
C49G7.13.1	V	4036111	4038054	I	1588915	2733130	3434148	7.71814588518783	0.467951635253147	Distant eQTL	1845233	WBGene00269425	C49G7.13	mRNA
C49G7.13.1	V	4036111	4038054	V	1892267	4037590	14781308	60.6014890357876	0.872961748289223	Local eQTL	12889041	WBGene00269425	C49G7.13	mRNA
C49G7.4.1	V	4043916	4044951	I	293332	1105334	1653135	8.41475439979638	0.401233770930413	Distant eQTL	1359803	WBGene00016782	phat-3	mRNA
C49G7.4.1	V	4043916	4044951	V	1892267	4039065	5870504	41.6648472062979	0.714979334145841	Local eQTL	3978237	WBGene00016782	phat-3	mRNA
C49G7.7.2	V	4034538	4036024	IV	3771041	6539887	16218716	8.48502956761368	0.187471787121594	Distant eQTL	12447675	WBGene00016785	C49G7.7	mRNA
C49G7.7.2	V	4034538	4036024	V	2022864	4415549	15501901	11.7835348729845	0.21921892558057	Local eQTL	13479037	WBGene00016785	C49G7.7	mRNA
C49G7.8.1	V	4031619	4033446	II	2715471	3047704	3745802	7.27173826302594	0.19202007898982	Distant eQTL	1030331	WBGene00016786	cyp-35A4	mRNA
C49G7.8.1	V	4031619	4033446	V	2197659	4042785	5714095	9.29481257503836	0.2644722673089	Local eQTL	3516436	WBGene00016786	cyp-35A4	mRNA
C49G9.1.1	I	12562826	12565895	I	5330184	12567086	14067665	47.9210512690058	0.653075786309878	Local eQTL	8737481	WBGene00008216	mec-19	mRNA
C50B6.9.2	V	13336364	13337967	X	10702407	12673082	13286183	6.32842338857658	0.122080210976916	Distant eQTL	2583776	WBGene00008222	C50B6.9	mRNA
C50D2.1a.1	II	111621	114458	I	993217	1549172	1938599	6.22773700845569	0.115332945801387	Distant eQTL	945382	WBGene00016805	C50D2.1	mRNA
C50D2.1a.1	II	111621	114458	IV	3699373	4430374	6457100	7.43605433069233	0.138418829826941	Distant eQTL	2757727	WBGene00016805	C50D2.1	mRNA
C50D2.6a.1	II	84434	87823	II	7028	799753	2219377	17.133290978368	0.38006770151338	Local eQTL	2212349	WBGene00016809	C50D2.6	mRNA
C50D2.6b.1	II	84813	87804	II	7028	88086	2631593	13.6353953830847	0.247831519136698	Local eQTL	2624565	WBGene00016809	C50D2.6	mRNA
C50D2.8b.1	II	96219	97753	II	730241	1158584	1502142	6.22308694254808	0.114713339538088	Distant eQTL	771901	WBGene00016811	C50D2.8	mRNA
C50D2.9.2	II	88221	91523	II	7028	619371	2219377	11.5927092271925	0.272879709310576	Local eQTL	2212349	WBGene00016812	C50D2.9	mRNA
C50E10.2a.2	II	12305456	12309687	II	12386009	12609559	12909136	6.33839882373505	0.116927147341571	Local eQTL	523127	WBGene00016826	C50E10.2	mRNA
C50E10.2b.1	II	12305543	12309714	II	12026288	12308692	12605117	14.5476120432585	0.280316804694788	Local eQTL	578829	WBGene00016826	C50E10.2	mRNA
C50E10.2c.1	II	12305543	12309135	II	2762332	4494212	5732655	8.0840361927965	0.149921641650297	Distant eQTL	2970323	WBGene00016826	C50E10.2	mRNA
C50E10.2c.1	II	12305543	12309135	II	9721339	12301768	13736585	11.2664849502242	0.207382071096608	Local eQTL	4015246	WBGene00016826	C50E10.2	mRNA
C50E10.4c.1	II	12341954	12344410	III	2514892	2802646	3004733	6.1237966057945	0.112803907518323	Distant eQTL	489841	WBGene00004945	sop-2	mRNA
C50E3.12.2	V	7620490	7622067	V	1797781	2278071	4590367	6.14354697731223	0.145258228779926	Distant eQTL	2792586	WBGene00016823	C50E3.12	mRNA
C50E3.12.2	V	7620490	7622067	X	12826915	13516932	15802855	8.70143298780741	0.207560397899541	Distant eQTL	2975940	WBGene00016823	C50E3.12	mRNA
C50E3.6.1	V	7588530	7590554	V	5276186	7595410	15272598	8.22595715883544	0.271608787944876	Local eQTL	9996412	WBGene00016817	C50E3.6	mRNA
C50F2.6a.2	I	3898046	3899351	V	13166974	14444778	15294340	7.78654069600018	0.144369894349862	Distant eQTL	2127366	WBGene00001430	fkb-5	mRNA
C50F2.9.1	I	3886073	3887085	X	8009357	8752693	9397284	6.88207417345594	0.127309375854373	Distant eQTL	1387927	WBGene00000012	abf-1	mRNA
C50F4.1.2	V	9526698	9529259	V	4903065	15730294	16017037	6.70133330532442	0.123868193036295	Distant eQTL	11113972	WBGene00008229	C50F4.1	mRNA
C50F4.13.2	V	9544611	9545398	IV	2177206	2695801	3402655	6.19706135779981	0.114213132806826	Distant eQTL	1225449	WBGene00001909	his-35	mRNA
C50F7.1b.2	IV	7743839	7746086	III	11531435	11891019	12219434	6.26328698582302	0.115485574056833	Distant eQTL	687999	WBGene00016842	npr-35	mRNA
C51F7.1.2	V	12302482	12306978	V	7662156	12397073	13949567	6.39655389462217	0.0977534670021182	Local eQTL	6287411	WBGene00001493	frm-7	mRNA
C52A10.2.1	V	5234768	5237169	X	15364801	15750452	16107877	6.71071966876687	0.169863030925409	Distant eQTL	743076	WBGene00016863	cest-35.2	mRNA
C52B11.3.1	X	1295254	1298829	V	3594707	4375888	5024143	7.165653438897	0.216271897000022	Distant eQTL	1429436	WBGene00016872	dop-4	mRNA
C52B11.3.1	X	1295254	1298829	X	303285	1436636	2378658	7.13364416444731	0.216713669908641	Local eQTL	2075373	WBGene00016872	dop-4	mRNA
C52B9.19.1	X	4282645	4284176	IV	3521802	4097021	6090293	6.43686261309843	0.118814283424328	Distant eQTL	2568491	WBGene00304788	C52B9.19	mRNA
C52D10.6.1	IV	17167274	17167792	IV	15382854	16398669	17333182	12.3689586859764	0.232257624333741	Local eQTL	1950328	WBGene00004818	skr-12	mRNA
C52D10.8.1	IV	17162097	17162615	IV	14507555	17175207	17490095	27.5556976661781	0.576003002926958	Local eQTL	2982540	WBGene00004819	skr-13	mRNA
C52D10.9.1	IV	17165250	17165834	IV	14829208	17175207	17490095	11.9683793536165	0.308178891058123	Local eQTL	2660887	WBGene00004814	skr-8	mRNA
C52E12.4.1	II	7012785	7022509	III	12167289	12461544	13111797	6.33201497503027	0.127053492498225	Distant eQTL	944508	WBGene00016889	lst-6	mRNA
C52E12.4.2	II	7012788	7022509	III	904909	1286892	1734580	6.30614774420058	0.118462038384417	Distant eQTL	829671	WBGene00016889	lst-6	mRNA
C52E12.4.2	II	7012788	7022509	III	12260613	12564875	13772968	8.57891389550963	0.154635824064115	Distant eQTL	1512355	WBGene00016889	lst-6	mRNA
C52E2.4.1	II	1843570	1846235	II	7028	2198780	2858645	12.5114001675418	0.395896716799875	Local eQTL	2851617	WBGene00016883	C52E2.4	mRNA
C52E2.5.1	II	1840975	1842936	II	7028	1611691	2786101	19.0084261416234	0.534478111957769	Local eQTL	2779073	WBGene00016884	C52E2.5	mRNA
C52E2.6.1	II	1846979	1848161	II	7028	1676521	2834136	37.8450992391078	0.809731348872952	Local eQTL	2827108	WBGene00016885	fbxb-97	mRNA
C52E2.7.1	II	1849375	1850403	II	7028	1604331	2834136	22.5125769193786	0.57518514557339	Local eQTL	2827108	WBGene00016886	fbxb-96	mRNA
C53A3.4.1	V	5758217	5758880	V	4438766	5714095	10889256	21.036686650317	0.438767264869857	Local eQTL	6450490	WBGene00303231	C53A3.4	mRNA
C53A5.13b.1	V	14547179	14554455	V	10597469	14649731	15998936	10.6473823729851	0.20641343602716	Local eQTL	5401467	WBGene00008270	C53A5.13	mRNA
C53B4.8.1	IV	8993086	9000777	III	11514718	11891019	12221934	6.22279289736447	0.131476254316143	Distant eQTL	707216	WBGene00008277	mltn-12	mRNA
C53B7.5.1	X	6864313	6865939	V	2056169	3249178	4405410	6.47914580857887	0.119623759830457	Distant eQTL	2349241	WBGene00003856	odr-10	mRNA
C53B7.6.1	X	6868632	6868769	X	5072234	6686001	8052163	7.9105804278389	0.273153805817135	Local eQTL	2979929	WBGene00016895	C53B7.6	mRNA
C53B7.7.1	X	6860947	6863424	X	4974260	6884788	9242485	27.2496600219874	0.733624238323594	Local eQTL	4268225	WBGene00016896	nep-4	mRNA
C53C7.1a.1	X	13018393	13022042	X	10414505	13072681	13744243	13.0585374873646	0.261327699132314	Local eQTL	3329738	WBGene00008278	npr-10	mRNA
C53D5.1a.2	I	291209	305473	IV	1111717	1208429	1540290	7.50560813302953	0.14739274071861	Distant eQTL	428573	WBGene00016902	C53D5.1	mRNA
C54C6.1.1	III	3528642	3528917	III	1926088	3563455	10481511	16.435491651513	0.293128080287891	Local eQTL	8555423	WBGene00004451	rpl-37	mRNA
C54C6.2.1	III	3537642	3541639	II	1539480	9695013	10614850	8.94206112737953	0.208602764728391	Distant eQTL	9075370	WBGene00000248	ben-1	mRNA
C54C6.2.1	III	3537642	3541639	V	16700322	17029962	18671693	8.57230835232746	0.209955492264318	Distant eQTL	1971371	WBGene00000248	ben-1	mRNA
C54D10.13.1	V	12431368	12432289	IV	1731149	2144505	2681865	6.12606815040656	0.117724100373051	Distant eQTL	950716	WBGene00045400	C54D10.13	mRNA
C54D10.14a.1	V	12437440	12441520	II	7028	630902	1125430	8.31314738256698	0.172798419846204	Distant eQTL	1118402	WBGene00138721	pals-37	mRNA
C54D10.14b.1	V	12437499	12440990	II	3130270	3564780	3782230	6.8770999189784	0.1713638666657	Distant eQTL	651960	WBGene00138721	pals-37	mRNA
C54D10.14b.1	V	12437499	12440990	V	6679927	13309513	14844697	6.26415314279759	0.129151668235859	Local eQTL	8164770	WBGene00138721	pals-37	mRNA
C54E10.1	V	18815036	18818593	I	1014347	1572898	1973940	6.21742291614331	0.134338070931872	Distant eQTL	959593	WBGene00008306	C54E10.1	pseudogenic_transcript
C54E10.1	V	18815036	18818593	II	13918929	14292281	15112148	6.18277533876657	0.154155641489544	Distant eQTL	1193219	WBGene00008306	C54E10.1	pseudogenic_transcript
C54E10.1	V	18815036	18818593	V	17887418	18828736	20900332	8.93224071225295	0.170987051112078	Local eQTL	3012914	WBGene00008306	C54E10.1	pseudogenic_transcript
C54F6.13b.1	V	7540959	7544021	II	576668	1186497	1670372	7.71634197513915	0.14396649312659	Distant eQTL	1093704	WBGene00003731	nhx-3	mRNA
C54G4.4.1	I	7996660	8003179	IV	3699373	4430374	6457100	6.44327371654584	0.127305524398422	Distant eQTL	2757727	WBGene00008314	C54G4.4	mRNA
C54G4.7.1	I	8019501	8022731	V	19563918	20410593	20900332	6.15651953664178	0.112061885417543	Distant eQTL	1336414	WBGene00008317	C54G4.7	mRNA
C54G4.7.2	I	8019295	8022731	II	13502415	13878919	14749657	6.7124942041327	0.124080988675979	Distant eQTL	1247242	WBGene00008317	C54G4.7	mRNA
C54G6.8.1	I	1015196	1015741	V	18518103	20060851	20900332	6.2679834055441	0.115575759752165	Distant eQTL	2382229	WBGene00236808	C54G6.8	mRNA
C54G7.3a.1	X	5525315	5538514	I	6415	661425	1179213	6.14402951778698	0.113716549690697	Distant eQTL	1172798	WBGene00002983	lgx-1	mRNA
C54G7.3a.1	X	5525315	5538514	I	12421147	14700446	15058146	7.78672578373503	0.145028639034852	Distant eQTL	2636999	WBGene00002983	lgx-1	mRNA
C54G7.3a.1	X	5525315	5538514	III	11528641	11891019	12221934	6.53873786597205	0.121319512522346	Distant eQTL	693293	WBGene00002983	lgx-1	mRNA
C54G7.3a.1	X	5525315	5538514	IV	3699373	4430374	6457100	8.58319640909949	0.15988469984995	Distant eQTL	2757727	WBGene00002983	lgx-1	mRNA
C54G7.3a.1	X	5525315	5538514	V	13594151	14649731	15302950	6.99870888095344	0.132330968083811	Distant eQTL	1708799	WBGene00002983	lgx-1	mRNA
C54G7.3b.1	X	5528212	5538516	IV	3699373	4430374	6457100	6.32429335419367	0.135800252158638	Distant eQTL	2757727	WBGene00002983	lgx-1	mRNA
C54H2.4.1	X	5766190	5770683	V	11238035	14649731	16061098	8.23202117815915	0.152672045183721	Distant eQTL	4823063	WBGene00016938	C54H2.4	mRNA
C55A1.6.1	V	15648035	15648852	V	15395018	16008358	16733728	6.61279616129134	0.154431361165061	Local eQTL	1338710	WBGene00008323	C55A1.6	mRNA
C55A6.1.1	V	11503811	11504884	I	12108392	13171417	14219502	6.26965454966767	0.166991705167186	Distant eQTL	2111110	WBGene00008330	C55A6.1	mRNA
C55A6.1.1	V	11503811	11504884	V	6713492	11238035	13728639	8.25594545170248	0.184048682068689	Local eQTL	7015147	WBGene00008330	C55A6.1	mRNA
C55A6.1.2	V	11503821	11504859	I	12108392	13171417	14219502	6.42919929293303	0.118667518085002	Distant eQTL	2111110	WBGene00008330	C55A6.1	mRNA
C55A6.1.2	V	11503821	11504859	IV	8129515	12688395	13494689	6.15294741615861	0.113364807425404	Distant eQTL	5365174	WBGene00008330	C55A6.1	mRNA
C55A6.1.2	V	11503821	11504859	V	2916816	11238035	15078019	7.09147722152397	0.134999699875038	Local eQTL	12161203	WBGene00008330	C55A6.1	mRNA
C55A6.1.2	V	11503821	11504859	V	17910668	18849905	20009197	6.85336263882122	0.126763424643109	Distant eQTL	2098529	WBGene00008330	C55A6.1	mRNA
C55A6.1.2	V	11503821	11504859	X	2606338	6526258	12227564	8.0120261663166	0.148580577752676	Distant eQTL	9621226	WBGene00008330	C55A6.1	mRNA
C55A6.2b.1	V	11509068	11512321	V	6025085	10584114	13759577	8.62248961226953	0.178412765076687	Local eQTL	7734492	WBGene00008331	ttll-5	mRNA
C55A6.5.2	V	11515084	11516193	V	7587293	11516185	13722936	6.37689497315346	0.152909490319568	Local eQTL	6135643	WBGene00008334	sdz-8	mRNA
C55B7.11.1	I	6511614	6513843	X	12700352	13244713	13766380	6.13638800854783	0.1130462130692	Distant eQTL	1066028	WBGene00016947	C55B7.11	mRNA
C55B7.4a.2	I	6497438	6501412	X	1182338	2273035	3054600	6.30980134799124	0.116378496578475	Distant eQTL	1872262	WBGene00016943	acdh-1	mRNA
C55B7.4b.1	I	6498085	6499552	I	987047	1536513	1918566	7.45262898138083	0.161524185091635	Distant eQTL	931519	WBGene00016943	acdh-1	mRNA
C55B7.4b.1	I	6498085	6499552	III	2942649	3353294	4225288	8.36825025426749	0.168369210021124	Distant eQTL	1282639	WBGene00016943	acdh-1	mRNA
C55B7.4b.1	I	6498085	6499552	IV	1790543	2212564	2734724	6.32648005240198	0.131224320076666	Distant eQTL	944181	WBGene00016943	acdh-1	mRNA
C55B7.4b.1	I	6498085	6499552	V	14699598	15310752	15923725	6.57444895879464	0.1214462222762	Distant eQTL	1224127	WBGene00016943	acdh-1	mRNA
C55B7.4b.1	I	6498085	6499552	X	1182338	2273035	3065755	7.23354769310882	0.133971074822114	Distant eQTL	1883417	WBGene00016943	acdh-1	mRNA
C55C2.2.1	I	2562668	2562997	I	2119977	2562945	3479286	8.75793854215523	0.153077315867918	Local eQTL	1359309	WBGene00006047	ssp-19	mRNA
C55C2.3.1	I	2560372	2561828	I	2183613	2556319	3042556	6.3806761736209	0.118280675827077	Local eQTL	858943	WBGene00016949	C55C2.3	mRNA
C55C3.1.1	IV	5709096	5714500	V	17684026	18109630	19548641	6.29416532213768	0.120964374084589	Distant eQTL	1864615	WBGene00016951	C55C3.1	mRNA
C55C3.5.1	IV	5695771	5703468	IV	3563173	5715815	14540434	27.677519570604	0.53050765280214	Local eQTL	10977261	WBGene00016955	perm-5	mRNA
C55C3.8.1	IV	5691030	5694835	V	18847432	20410593	20900332	6.92552516873628	0.133513231690485	Distant eQTL	2052900	WBGene00044501	C55C3.8	mRNA
C56A3.10	V	13527601	13528864	V	13427941	14689759	17661589	7.85029735824034	0.149615145745083	Distant eQTL	4233648	WBGene00077568	C56A3.10	pseudogenic_transcript
C56A3.6f.1	V	13553380	13556397	V	10285793	14112266	15294340	8.32019193649289	0.115046607582186	Local eQTL	5008547	WBGene00008345	C56A3.6	mRNA
C56A3.9	V	13527600	13528531	V	11093249	14773604	16569761	17.8355727948137	0.386542471754062	Distant eQTL	5476512	WBGene00044800	C56A3.9	pseudogenic_transcript
C56C10.4.1	II	6583039	6584504	V	13598611	14649731	15294340	6.43248631463607	0.118730472916649	Distant eQTL	1695729	WBGene00016962	C56C10.4	mRNA
C56E6.3a.2	II	6517188	6520455	III	5936562	6664724	7202581	6.20648318868152	0.138055681211183	Distant eQTL	1266019	WBGene00016971	toe-2	mRNA
C56G2.3.1	III	6346281	6348403	I	3882216	8484435	11513251	6.33864022356847	0.116931777016874	Distant eQTL	7631035	WBGene00016978	C56G2.3	mRNA
C56G2.3.1	III	6346281	6348403	III	2942649	3353294	4225288	7.53084638720329	0.147569720257753	Distant eQTL	1282639	WBGene00016978	C56G2.3	mRNA
C56G2.3.1	III	6346281	6348403	V	15280032	15743935	16018750	6.70452333247122	0.128304496990673	Distant eQTL	738718	WBGene00016978	C56G2.3	mRNA
C56G2.3.1	III	6346281	6348403	X	474197	2209898	4305248	7.64851917515699	0.146269913329953	Distant eQTL	3831051	WBGene00016978	C56G2.3	mRNA
C56G2.4.1	III	6331732	6335839	IV	3699373	4430374	6453908	6.11975325179044	0.112726088350869	Distant eQTL	2754535	WBGene00016979	C56G2.4	mRNA
CC8.2a.2	IV	3645162	3647661	III	2942649	3353294	4225288	9.22973344036409	0.171017635655303	Distant eQTL	1282639	WBGene00016987	CC8.2	mRNA
CC8.2a.2	IV	3645162	3647661	III	11741084	12079457	12379826	6.42103129933415	0.118511065730206	Distant eQTL	638742	WBGene00016987	CC8.2	mRNA
CC8.2a.2	IV	3645162	3647661	V	2249236	4148393	16018750	7.45151872666392	0.138082095011982	Distant eQTL	13769514	WBGene00016987	CC8.2	mRNA
CD4.8.1	V	5599145	5601361	V	4568670	5648293	7681064	6.99733605749784	0.113592161632287	Local eQTL	3112394	WBGene00016993	CD4.8	mRNA
CE7X_3.1	X	261	7587	I	12571927	13410898	14513613	7.36413143513295	0.282597248817663	Distant eQTL	1941686	WBGene00008349	CE7X_3.1	pseudogenic_transcript
CE7X_3.1	X	261	7587	X	303285	303285	2283929	12.1275036811622	0.323176167558051	Local eQTL	1980644	WBGene00008349	CE7X_3.1	pseudogenic_transcript
CE7X_3.2	X	7582	9933	X	303285	1334379	2735266	11.3831758307667	0.331783467230442	Distant eQTL	2431981	WBGene00008350	CE7X_3.2	pseudogenic_transcript
cTel54X.1.1	III	1219	3097	III	12249	12276	2367121	19.7550231038458	0.37070115012561	Local eQTL	2354872	WBGene00008352	fbxa-6	mRNA
cTel54X.2.1	III	3278	3690	III	12249	673816	1008603	6.70896898235408	0.142463505972222	Local eQTL	996354	WBGene00305997	cTel54X.2	mRNA
cTel55X.1a.2	X	17714961	17718721	IV	16786173	17252810	17490095	6.44636204450425	0.119544475341716	Distant eQTL	703922	WBGene00007068	cTel55X.1	mRNA
D1005.1.1	X	1479542	1484087	X	303285	1464184	2406952	7.39370210408388	0.147350585052561	Local eQTL	2103667	WBGene00016995	acly-1	mRNA
D1007.10a.1	I	4587505	4589450	I	3017236	4842353	10327838	12.9059498493969	0.179376314080028	Local eQTL	7310602	WBGene00017007	D1007.10	mRNA
D1007.16.2	I	4603217	4605380	II	791733	1186497	1604326	6.25996762196839	0.107050581447594	Distant eQTL	812593	WBGene00017011	eaf-1	mRNA
D1007.5b.1	I	4580733	4583804	I	9651408	11710782	12597637	6.12661252976392	0.112858100427842	Distant eQTL	2946229	WBGene00017003	D1007.5	mRNA
D1014.3b.1	V	8130611	8131653	II	13716029	14016247	14542457	6.13892993588255	0.184634843329588	Distant eQTL	826428	WBGene00017016	snap-1	mRNA
D1014.3b.1	V	8130611	8131653	IV	6237686	13055128	13788710	8.30821936251082	0.211861967452396	Distant eQTL	7551024	WBGene00017016	snap-1	mRNA
D1014.3b.1	V	8130611	8131653	V	4133746	10844287	13762996	18.6705611244971	0.32739139108193	Distant eQTL	9629250	WBGene00017016	snap-1	mRNA
D1014.3b.1	V	8130611	8131653	X	3651726	5067480	12227564	15.9405729317986	0.285316442858089	Distant eQTL	8575838	WBGene00017016	snap-1	mRNA
D1014.3b.2	V	8130613	8133326	II	13514417	13907987	14832112	8.17586444098941	0.15162921506116	Distant eQTL	1317695	WBGene00017016	snap-1	mRNA
D1014.3b.2	V	8130613	8133326	V	6457872	13879788	15078019	7.8500857875295	0.145558270215771	Distant eQTL	8620147	WBGene00017016	snap-1	mRNA
D1014.3b.2	V	8130613	8133326	V	17910668	18849905	20900332	6.67456437108825	0.123357648614196	Distant eQTL	2989664	WBGene00017016	snap-1	mRNA
D1014.3b.2	V	8130613	8133326	X	2606338	7896461	9529756	9.56511406454272	0.177106396111657	Distant eQTL	6923418	WBGene00017016	snap-1	mRNA
D1022.3.1	II	7455190	7456284	II	5890413	7420139	9319180	14.1689058887036	0.326064812052727	Local eQTL	3428767	WBGene00017022	D1022.3	mRNA
D1025.3.1	X	14511248	14512917	X	13610684	14473333	14760767	7.73377954266117	0.148378610288454	Local eQTL	1150083	WBGene00008355	fbxa-141	mRNA
D1025.4.1	X	14529788	14530214	X	13599371	14396596	17696299	21.776698914918	0.594534954905324	Local eQTL	4096928	WBGene00008356	nspc-20	mRNA
D1025.4.2	X	14529785	14530214	X	13599371	14711035	17696299	19.2907829338329	0.508212369953369	Local eQTL	4096928	WBGene00008356	nspc-20	mRNA
D1025.6.1	X	14523575	14524021	V	1678104	2004076	2900329	8.84319271009652	0.209268807440853	Distant eQTL	1222225	WBGene00008357	nspc-16	mRNA
D1025.7.1	X	14527170	14527659	X	13232170	15138530	16190800	12.540191270987	0.318775483177829	Local eQTL	2958630	WBGene00008358	nspc-18	mRNA
D1025.8.1	X	14524754	14525181	X	13841276	14634055	14831851	8.29262442821988	0.197570825434511	Local eQTL	990575	WBGene00008359	nspc-17	mRNA
D1025.9.1	X	14528699	14529113	X	13744243	15557012	15881979	8.99436300699486	0.17922811895014	Distant eQTL	2137736	WBGene00008360	nspc-19	mRNA
D1037.1.1	I	3684781	3690347	I	2795012	3673319	8183419	6.71055229439965	0.129982004165513	Local eQTL	5388407	WBGene00017025	D1037.1	mRNA
D1044.2b.2	III	5527745	5535507	X	12716900	13306943	13904860	7.59883685242472	0.140851640407565	Distant eQTL	1187960	WBGene00017028	dex-1	mRNA
D1044.7.1	III	5507050	5508738	III	2816622	4892173	11231362	8.04625952764631	0.22171999919191	Local eQTL	8414740	WBGene00017032	D1044.7	mRNA
D1054.1.1	V	10768463	10770217	V	4531927	9947621	14602858	42.8642097817508	0.69048314403352	Local eQTL	10070931	WBGene00008370	D1054.1	mRNA
D1054.2.2	V	10770321	10771351	II	7318596	7867402	8353282	6.24543497440925	0.115142702217161	Distant eQTL	1034686	WBGene00003923	pas-2	mRNA
D1054.9c.1	V	10785803	10791057	V	12293869	14649731	15294340	7.32564424337854	0.143267693169745	Distant eQTL	3000471	WBGene00008376	D1054.9	mRNA
D1054.9d.1	V	10785801	10790811	I	993217	1549172	1938599	6.34808221869037	0.131063733755007	Distant eQTL	945382	WBGene00008376	D1054.9	mRNA
D1054.9d.1	V	10785801	10790811	IV	3699373	4430374	6457100	8.48932768583553	0.171726510230679	Distant eQTL	2757727	WBGene00008376	D1054.9	mRNA
D1054.9d.1	V	10785801	10790811	V	11216597	14654518	15302950	7.5597722734426	0.14075553852339	Distant eQTL	4086353	WBGene00008376	D1054.9	mRNA
D1065.5a.1	V	4078061	4081383	V	2076606	4116419	14068470	50.4521632537953	0.716733934522594	Local eQTL	11991864	WBGene00005421	srh-211	mRNA
D1069.4a.1	II	348174	357069	IV	13110416	13801745	14540434	6.16591280451141	0.113614197314515	Distant eQTL	1430018	WBGene00017038	dmsr-4	mRNA
D1081.11.1	I	8472556	8473481	V	19563918	20410593	20900332	6.27339647216616	0.116391407409631	Distant eQTL	1336414	WBGene00050879	D1081.11	mRNA
